grid_id,lon,lat,flare_label_ever,mean_risk,max_risk,active_months_validation_f1,strict_active_months,discovery_active_months,post_max_risk,post_mean_risk,post_strict_active_months,post_discovery_active_months,oilgas_candidate_ever
13282,44.201702,35.38922,0,0.14791193008083753,0.738562091503268,6,46,60,0.3191489361702128,0.08606671730862592,14,23,1
68874,44.150806,36.03803,0,0.13799819796728247,0.3191489361702128,0,23,24,0.3191489361702128,0.16661107402454556,12,12,1
68715,43.707012,36.02505,0,0.14472752790949647,0.5084033613445379,1,17,24,0.3191489361702128,0.10132645100211617,9,12,1
16016,44.134583,35.487938,0,0.02989986351749271,0.3191489361702128,0,21,84,0.3191489361702128,0.03988579721643584,8,35,1
62311,44.022717,35.622326,0,0.07192391810949679,0.3191489361702128,0,15,24,0.3191489361702128,0.08737323478324993,8,12,1
14558,44.333454,35.4351,0,0.03623801941248976,0.3191489361702128,0,21,60,0.3191489361702128,0.04147831641187306,7,23,1
68072,43.752247,35.971436,0,0.06990384565632358,0.3191489361702128,0,13,24,0.3191489361702128,0.05737955832788316,6,12,1
68876,44.173004,36.038185,0,0.08652405201466513,0.3191489361702128,0,14,24,0.3191489361702128,0.07842833862639136,6,12,1
15533,44.145798,35.469986,0,0.014118672381475747,0.3191489361702128,0,8,82,0.3191489361702128,0.017993588049260278,4,35,1
20324,43.96716,35.64891,0,0.018329133995267113,0.3191489361702128,0,9,59,0.3191489361702128,0.032552603823286355,4,23,1
5774,44.807938,35.121193,0,0.029323791081005936,0.2962962962962963,0,10,19,0.2962962962962963,0.07645808871147874,10,14,1
68872,44.128605,36.03787,0,0.13978719789314367,0.5084033613445379,2,21,24,0.2962962962962963,0.11696187819175961,10,12,1
61217,44.288357,35.55206,0,0.08871112129420834,0.2962962962962963,0,18,24,0.2962962962962963,0.1049132023271242,8,12,1
68638,44.206486,36.02038,0,0.0727259134460606,0.2962962962962963,0,12,24,0.2962962962962963,0.08542272914033017,7,12,1
15775,44.13468,35.478924,0,0.011353332183154041,0.2962962962962963,0,2,58,0.2962962962962963,0.02303032386529336,2,23,1
